"DIOGENES_FOOD_CODE","COUNTRY_FOOD_CODE","FOODNAME","ENGLISH_TRANS","DIOGENES_FOOD_GRP","CHO_100G.","GI_VAL","GL","GI_CAT","SOURCE_1","SOURCE_2","COMMENT","COUNTRY"
20,"4643021SK00000003004","pag<e1><e8>ik o<9a>kvarkov<fd>","Greaves Bun",5.1,48.3,72,35,"3",NA,NA,"based on hot cross bun","CZECH"
21,"4643028SK00000003004","viano<e8>ka bez hrozienok","Christmas Cake Without Raisins",5.2,58.72,63,37,"4",NA,NA,"","CZECH"
22,"4643029SK00000003004","viano<e8>ka s hrozienkami","Christmas Cake With Raisins",5.2,59.46,63,37,"4",NA,NA,"","CZECH"
23,"4643031SK00000003004","z<e1>vin jablkov<fd>","Apple Strudel / Turnover",5.2,55.02,63,35,"4",NA,NA,"based on pastry and fruit","CZECH"
29,"4452008SK00000003004","ara<9a>idov<e9> maslo solen<e9>","Peanut Butter With Salt",13.1,19.28,23,4,"2",NA,NA,"based on peanuts","CZECH"
30,"4452009SK00000003004","margar<ed>n Flora 70%","Margarine  Flora  70%",11.1,0.3,70,0,"5",NA,NA,"","CZECH"
34,"4452012SK00000003004","S<e1>ga vita","S<e1>ga Vita",11.1,0.73,70,1,"5",NA,NA,"","CZECH"
35,"4452001SK00000003004","tukov<e1> n<e1>tierka s maslovou pr<ed>chu<9d>ou","Margarine-Butter Blend (60% Corn Oil Margarine And 40% Butter)",11.1,0.65,70,0,"5",NA,NA,"","CZECH"
48,"4622002SK00000003004","ra<9e>n<e1> m<fa>ka chlebov<e1>","Rye Flour Breadmaking",3.1,75.73,70,53,"5",NA,NA,"","CZECH"
49,"4622003SK00000003004","ra<9e>n<e1> m<fa>ka v<fd>ra<9e>kov<e1>","Rye Flour Superfine",3.1,79.56,70,56,"5",NA,NA,"","CZECH"
50,"4815003SK00000003000","anan<e1>s","Pineapple",17.1,12.7,59,7,"2","1",NA,"","CZECH"
51,"4813004SK00000003000","ar<f3>nia <e8>iernoplod<e1> (<e8>ierna jarabina)","Black Chokeberry",17.1,20.11,70,14,"5","4",NA,"","CZECH"
53,"4815007SK00000003000","ban<e1>ny","Bananas",17.1,21.83,52,11,"2","1",NA,"","CZECH"
55,"4812001SK00000003000","broskyne","Peaches",17.1,12.09,42,5,"2","1",NA,"","CZECH"
56,"4813001SK00000003000","brusnice","Cowberries",17.1,12.09,45,5,"4","1",NA,"based on other berries","CZECH"
57,"4814001SK00000003000","citr<f3>ny","Lemons",17.1,9.21,45,4,"4",NA,NA,"","CZECH"
58,"4812007SK00000003000","<e8>ere<9a>ne","Sweet Cherries",17.1,14.38,22,3,"2","1",NA,"","CZECH"
59,"4813018SK00000003000","<e8>ernice","Blackberries",17.1,12.05,45,5,"4","1",NA,"based on other berries","CZECH"
60,"4813019SK00000003000","<e8>u<e8>oriedky","Bilberries (Blueberries)",17.1,11.46,45,5,"4","1",NA,"based on other berries","CZECH"
61,"4813002SK00000003000","drienky","Dogberries",17.1,14,45,6,"4","1",NA,"based on other berries","CZECH"
62,"4811001SK00000003000","duly","Quinces",17.1,14.03,32,4,"3",NA,NA,"Similar to apples","CZECH"
63,"4813003SK00000003000","egre<9a>e","Gooseberries",17.1,9.68,45,4,"4","1",NA,"based on other berries","CZECH"
64,"4815001SK00000003000","figy","Figs",17.1,18.13,61,11,"2","1",NA,"based on figs ready- to- eat","CZECH"
65,"4815002SK00000003000","gran<e1>tov<e9> jablk<e1>","Pomegranates",17.1,17.22,63,11,"4",NA,NA,"","CZECH"
66,"4814002SK00000003000","grapefruity","Grapefruits",17.1,10,25,3,"2","1",NA,"","CZECH"
67,"4813005SK00000003000","hrozno","Grapes",17.1,16.93,46,8,"2","1",NA,"","CZECH"
68,"4811002SK00000003000","hru<9a>ky","Pears",17.1,13.42,38,5,"2","1",NA,"","CZECH"
69,"4811003SK00000003000","jablk<e1>","Apples",17.1,12.95,38,5,"2","1",NA,"","CZECH"
70,"4813006SK00000003000","jahody z<e1>hradn<e9>","Strawberries (Garden)",17.1,8.73,40,3,"2","1",NA,"","CZECH"
71,"4813007SK00000003000","jarabina","Sorbapples",17.1,21.1,70,15,"5",NA,NA,"","CZECH"
72,"4816002SK00000003000","kiwi","Kiwi Fruit",17.1,13.85,53,7,"2","1",NA,"","CZECH"
75,"4815004SK00000003000","mango","Mango",17.1,16.45,51,8,"2","1",NA,"","CZECH"
76,"4815005SK00000003000","maracua (m<fa><e8>enka jedl<e1>)","Passionfruit",17.1,20.5,45,9,"4",NA,NA,"","CZECH"
77,"4812002SK00000003000","marhule","Apricots",17.1,11.96,57,7,"2","1",NA,"","CZECH"
78,"4814003SK00000003000","mandar<ed>nky","Mandarines",17.1,9.39,42,4,"3","1",NA,"based on oranges","CZECH"
79,"4816003SK00000003000","mel<f3>n cukrov<fd>","Cantaloupe (Muskmelon)",17.1,7.68,65,5,"2","5",NA,"web","CZECH"
80,"4816004SK00000003000","mel<f3>n <e8>erven<fd>","Watermelon",17.1,6.03,72,4,"2","5",NA,"web","CZECH"
83,"4815006SK00000003000","pap<e1>ja","Papaya",17.1,10.94,58,6,"2","5",NA,"mean of 3 studies","CZECH"
84,"4814004SK00000003000","pomaran<e8>e","Oranges",17.1,11.04,42,5,"2","1",NA,"","CZECH"
85,"4813011SK00000003000","rakytn<ed>k re<9a>etliakovit<fd>","Buckthorn",17.1,7.84,70,5,"5","5",NA,"","CZECH"
86,"4813012SK00000003000","r<ed>bezle biele","White Currants",17.1,13.75,64,9,"3","1",NA,"based on raisins","CZECH"
87,"4813013SK00000003000","r<ed>bezle <e8>erven<e9>","Red Currants",17.1,12.78,64,8,"3","1",NA,"based on raisins","CZECH"
88,"48130142SK0000000300","r<ed>bezle <e8>ierne","Black Currants",17.1,17.2,64,11,"3","1",NA,"based on raisins","CZECH"
89,"4812004SK00000003000","ringloty","Greengages",17.1,15.75,39,6,"3","1",NA,"based on raw plums","CZECH"
90,"4812005SK00000003000","slivky","Plums",17.1,14.65,39,6,"2","1",NA,"","CZECH"
91,"4813017SK00000003000","<9a><ed>pky","Rose Hips",17.1,40.14,70,28,"5",NA,NA,"","CZECH"
94,"4642003SK00000003004","bageta","Baguette",1.1,60.3,95,57,"2","1",NA,"","CZECH"
95,"4642012SK00000003054","dalamanka","Bread Loaf",1.1,56,56,31,"3","1",NA,"volkornbrot, whole-meal-rye bead","CZECH"
96,"4642004SK00000003004","karlovarsk<fd> ro<9e>ok","Roll  Carlsbad ",5.1,52.4,95,50,"3","1",NA,"baguette","CZECH"
98,"4642006SK00000003004","ro<9e>ky biele","White Rolls",1.1,57.47,72,41,"3","1",NA,"baguette","CZECH"
99,"4642007SK00000003004","ro<9e>ky celozrnn<e9>","Whole-Meal Rolls",1.2,54.7,56,31,"3","1",NA,"volkornbrot, whole-meal-rye bead","CZECH"
101,"4642009SK00000003004","ro<9e>ky mlie<e8>ne biele slan<e9>","Milk Rolls White. Salted",1.1,61.8,72,44,"3","1",NA,"baguette","CZECH"
102,"4643026SK00000003004","str<fa>hanka","Breadcrumbs",1.1,76.8,72,55,"3","3",NA,"based on white bread","CZECH"
104,"4642010SK00000003004","veka","Bread Roll",1.1,59.8,72,43,"3","1",NA,"baguette","CZECH"
105,"4642011SK00000003004","<9e>em<be>a tmav<e1>","Bun Brown",1.1,61.7,70,43,"5",NA,NA,"","CZECH"
109,"4621004SK00000003004","p<9a>eni<e8>n<e1> m<fa>ka hladk<e1> T 650","Wheat Flour Soft T 650",3.1,73.06,70,51,"5",NA,NA,"","CZECH"
111,"4621006SK00000003004","p<9a>eni<e8>n<e1> m<fa>ka instantn<e1>","Wheat Flour Instant",3.1,79.89,70,56,"5",NA,NA,"","CZECH"
113,"4621008SK00000003004","p<9a>eni<e8>n<e1> m<fa>ka polohrub<e1> v<fd>berov<e1>","Wheat Flour Selective Medium-Ground",3.1,75.33,70,53,"5",NA,NA,"","CZECH"
114,"4610022SK00000003002","p<9a>eni<e8>n<fd> lepok","Wheat Gluten",32.1,6.49,70,5,"5",NA,NA,"","CZECH"
116,"4610014SK00000003000","p<9a>enica","Wheat Grains",6.1,70.19,48,34,"2","5",NA,"","CZECH"
117,"4610016SK00000003054","p<9a>enica. kl<ed><e8>ky","Wheat Sprouts",6.1,46.49,70,33,"5",NA,NA,"","CZECH"
118,"4610015SK00000003000","p<9a>enica tvrd<e1>","Wheat Hard",3.1,71.18,70,50,"5",NA,NA,"","CZECH"
119,"4610017SK00000003000","ra<9e>","Rye Grain",3.1,73.26,29,21,"2","1",NA,"","CZECH"
122,"4500001SK00000003050","c<ed>cer","Chickpea Dried",14.1,59.39,28,17,"2","1",NA,"","CZECH"
123,"4510003SK00000003054","c<ed>cer varen<fd> *","Chickpea Boiled",14.1,22.82,28,6,"2","1",NA,"","CZECH"
124,"4916001SK00000003050","c<ed>cer zelen<fd>","Chickpea Green",14.1,27.4,28,8,"2","1",NA,"","CZECH"
126,"4510004SK00000003054","fazu<be>a varen<e1> *","Beans Boiled",14.1,20.81,29,6,"2","1",NA,"","CZECH"
128,"4510006SK00000003054","hrach varen<fd> *","Peas Boiled",14.1,20.02,48,10,"2","1",NA,"","CZECH"
132,"4520003SK00000003004","extrudovan<e1> s<f3>ja Sojavita","Soya Extruded  Sojavita ",14.1,36.6,70,26,"5",NA,NA,"","CZECH"
135,"4520008SK00000003004","s<f3>jov<e1> m<fa>ka plnotu<e8>n<e1>","Soya Flour Full-Fat",3.1,23.75,70,17,"5",NA,NA,"","CZECH"
137,"4520009SK00000003004","s<f3>jov<e1> pasta ""Miso""","Soya Paste  Miso ",32.1,23.5,70,16,"5",NA,NA,"","CZECH"
138,"4520011SK00000003004","s<f3>jov<e9> mlieko","Soya Milk",29.1,3.11,45,1,"2","1",NA,"","CZECH"
140,"4500004SK00000003000","<9a>o<9a>ovica","Lentil Dried",14.1,58.02,25,15,"2","5",NA,"mean of 12 studies","CZECH"
142,"4510005SK00000003054","<9a>o<9a>ovica varen<e1> *","Lentil Boiled",14.1,17.17,25,4,"2",NA,NA,"","CZECH"
143,"4430001SK00000003000","ara<9a>idy","Peanuts",13.1,18.18,14,3,"3","1",NA,"plain peanuts ","CZECH"
144,"4460004SK00000003054","ara<9a>idy l<fa>pan<e9>. pra<9e>en<e9>","Peanuts Roasted",13.1,19.75,14,3,"3","1",NA,"plain peanuts ","CZECH"
145,"4460003SK00000003054","ara<9a>idy l<fa>pan<e9>. pra<9e>en<e9> a solen<e9>","Peanuts Roasted With Salt",13.1,17.76,14,2,"3","1",NA,"plain peanuts ","CZECH"
146,"4430002SK00000003000","ga<9a>tany jedl<e9>","Chestnuts",14.1,40.54,70,28,"5",NA,NA,"","CZECH"
147,"4460005SK00000003054","ga<9a>tany pe<e8>en<e9>","Chestnuts Roasted",14.1,52.96,70,37,"5",NA,NA,"","CZECH"
149,"4460006SK00000003004","kokos mlet<fd>","Coconut Desiccated",13.1,23.92,70,17,"5",NA,NA,"","CZECH"
156,"4460008SK00000003004","orechy ke<9a>u pra<9e>en<e9>. solen<e9>","Cashew Nuts Roasted With Salt",13.1,27.35,22,6,"2","1",NA,"","CZECH"
158,"4460010SK00000003004","orechy lieskov<e9> l<fa>pan<e9>. pra<9e>en<e9>","Hazelnuts Roasted",13.1,14.7,24,4,"3","2",NA,"mixed nuts","CZECH"
164,"4430012SK00000003000","orechy vla<9a>sk<e9>","Walnuts",13.1,14.45,24,3,"3","2",NA,"mixed nuts","CZECH"
167,"44600143SK0000000300","pist<e1>cie l<fa>pan<e9>. pra<9e>en<e9> a solen<e9>","Pistachio Nuts Roasted With Salt",13.1,20.72,24,5,"3","2",NA,"mixed nuts","CZECH"
168,"5400006SK00000003004","hor<e8>i<e8>n<e9> semen<e1>","Mustard Seeds",13.1,22.38,70,16,"5",NA,NA,"","CZECH"
170,"4421001SK00000003000","makov<e9> semen<e1>","Poppy Seeds",13.1,24.2,70,17,"5",NA,NA,"","CZECH"
171,"4421002SK00000003004","olivy zelen<e9> marinovan<e9>","Green Olives In Brine",17.3,4.1,45,2,"4",NA,NA,"","CZECH"
172,"4421003SK00000003000","sezamov<e9> semen<e1>","Sesame Seeds",13.1,12.45,70,9,"5",NA,NA,"","CZECH"
173,"4421004SK00000003000","slne<e8>nicov<e9> semen<e1>","Sunflower Seeds",13.1,27.58,70,19,"5",NA,NA,"","CZECH"
175,"4421007SK00000003004","slne<e8>nicov<e9> semen<e1> pra<9e>en<e9>. solen<e9>","Sunflower Seeds. Dry Roasted. With Salt",13.1,24.07,70,17,"5",NA,NA,"","CZECH"
184,"4422004SK00000003000","olivov<fd> olej","Olive Oil",10.1,0.15,70,0,"5",NA,NA,"","CZECH"
201,"4230001SK00000003004","maslo","Butter",12.1,0.52,70,0,"5",NA,NA,"","CZECH"
210,"4650008SK00000003054","detsk<e9> pi<9a>k<f3>ty gu<be>at<e9>","Sponge Biscuits",5.2,75.8,67,51,"3","1",NA,"Be Be jemne biscuits","CZECH"
211,"4650009SK00000003004","jemn<e9> ty<e8>inky soletky","Fine Sticks. Salted  Soletky ",5.1,74.45,70,52,"5",NA,NA,"","CZECH"
212,"4643012SK00000003004","krekery","Crackers",5.1,56.9,70,40,"5",NA,NA,"","CZECH"
216,"4310005SK00000003000","perli<e8>ie vajce","Egg Guinea Hen",28.1,0.8,70,1,"5",NA,NA,"","CZECH"
217,"4310006SK00000003000","slepa<e8>ie vajce","Egg Chicken",28.1,0.94,70,1,"5",NA,NA,"","CZECH"
225,"4350001SK00000003004","majon<e9>za z<e1>kladn<e1>","Mayonnaise Plain",32.4,0.47,70,0,"5",NA,NA,"","CZECH"
226,"4350003SK00000003004","ochuten<e1> majon<e9>za (tat<e1>rska)","Flavoured Mayonnaise",32.4,0.53,70,0,"5",NA,NA,"","CZECH"
227,"4360004SK00000003054","vajce na m<e4>kko","Soft-Boiled Egg",28.1,1.22,70,1,"5",NA,NA,"","CZECH"
228,"4360005SK00000003054","vajce na tvrdo","Hard-Boiled Egg",28.1,1.12,70,1,"5",NA,NA,"","CZECH"
229,"4360002SK00000003054","vaje<e8>n<e1> omeleta","Egg Omelette Plain",28.1,1.04,70,1,"5",NA,NA,"","CZECH"
233,"4915001SK00000003000","bakla<9e><e1>n","Aubergine",15.1,4.45,45,2,"4",NA,NA,"","CZECH"
235,"4912001SK00000003000","brokolica","Brocolli",15.1,5.7,45,3,"4",NA,NA,"","CZECH"
236,"4913001SK00000003000","cesnak","Garlic",15.1,25.04,45,11,"4",NA,NA,"","CZECH"
237,"4913002SK00000003000","cibu<be>a","Onion",15.1,8.91,45,4,"4",NA,NA,"","CZECH"
239,"4915002SK00000003050","cukina","Courgette (Zucchini)",15.1,2.9,45,1,"4",NA,NA,"","CZECH"
241,"4914009SK00000003000","<e8>erven<e1> repa (cvikla)","Beetroot",15.1,9.54,64,6,"2","1",NA,"","CZECH"
242,"4916002SK00000003000","fazu<be>ka","Green Beans",15.1,6.32,45,3,"4",NA,NA,"","CZECH"
243,"4916003SK00000003000","hr<e1><9a>ok","Peas",15.1,12.93,48,6,"2","1",NA,"","CZECH"
244,"4914001SK00000003000","chren","Horseradish",15.1,15.35,70,11,"5",NA,NA,"","CZECH"
245,"4912002SK00000003000","kaler<e1>b","Kohlrabi (Turnip Cabbage)",15.1,5.36,45,2,"4",NA,NA,"","CZECH"
246,"4912005SK00000003000","kapusta <e8><ed>nska","Cabbage. Chinese",15.1,2.46,45,1,"4",NA,NA,"","CZECH"
247,"4912003SK00000003000","kapusta hl<e1>vkov<e1> biela","Cabbage. White",15.1,5.36,45,2,"4",NA,NA,"","CZECH"
249,"4912006SK00000003000","karfiol","Cauliflower",15.1,4.48,45,2,"4",NA,NA,"","CZECH"
252,"4912009SK00000003000","kel ru<9e>i<e8>kov<fd>","Brussel Sprouts",15.1,6.28,45,3,"4",NA,NA,"","CZECH"
254,"4917001SK00000003000","kukurica cukrov<e1>","Maize Sweet (Sweetcorn)",15.1,18.76,55,10,"2","1",NA,"","CZECH"
255,"4912010SK00000003000","kvaka","Swede (Rutabaga)",15.1,7.35,72,5,"2","1",NA,"","CZECH"
256,"4914002SK00000003000","mangold","Mangold",15.1,3.71,70,3,"5",NA,NA,"","CZECH"
257,"4914003SK00000003000","mrkva","Carrot",15.1,7.34,47,3,"2","1",NA,"","CZECH"
258,"4915003SK00000003000","paprika zeleninov<e1>","Pepper (Capsicum Green)",15.1,4.59,45,2,"4",NA,NA,"","CZECH"
263,"4913004SK00000003000","p<f3>r","Leek",15.1,6.82,45,3,"4",NA,NA,"","CZECH"
264,"4915004SK00000003000","raj<e8>iny / paradajky","Tomatoes",15.1,4.07,45,2,"4",NA,NA,"","CZECH"
266,"4914006SK00000003000","re<ef>kev","Wild Radish (White Charlock)",15.1,6.88,45,3,"4",NA,NA,"","CZECH"
267,"4914007SK00000003000","re<ef>kovka","Red Radish",15.1,3.91,45,2,"4",NA,NA,"","CZECH"
268,"4911006SK00000003000","<9a>al<e1>t hl<e1>vkov<fd>","Lettuce",15.1,2.51,45,1,"4",NA,NA,"","CZECH"
269,"4911011SK00000003000","<9a>parg<be>a","Asparagus",15.1,3.03,45,1,"4",NA,NA,"","CZECH"
270,"4911007SK00000003000","<9a>pen<e1>t","Spinach",15.1,3.04,45,1,"4",NA,NA,"","CZECH"
273,"4914010SK00000003000","topinambury","Topinambours",15.1,16.51,70,12,"5",NA,NA,"","CZECH"
274,"4915007SK00000003000","uhorky","Cucumbers",15.1,2.28,45,1,"4",NA,NA,"","CZECH"
275,"4914008SK00000003000","zeler bu<be>vov<fd>","Celeriac",15.1,7.34,45,3,"4",NA,NA,"","CZECH"
276,"4911005SK00000003000","zeler. v<f2>a<9d>","Celery Tops. Fresh",15.1,9.1,45,4,"4",NA,NA,"","CZECH"
277,"4710001SK00000003000","zemiaky neskor<e9>","Old Potatoes",16.1,20.59,85,18,"4",NA,NA,"","CZECH"
279,"4911008SK00000003000","<9e>erucha","Cress",15.1,5.3,45,2,"4",NA,NA,"","CZECH"
286,"4630005SK00000003004","lazane varen<e9>","Lazagna Boiled",4.1,22,45,10,"4","5",NA,"","CZECH"
287,"4630009SK00000003004","makar<f3>ny. <9a>pagety","Macaroni. Spaghetti",4.1,75,45,34,"4","1",NA,"based on macaroni cooked","CZECH"
288,"4630008SK00000003004","makar<f3>ny. <9a>pagety varen<e9>","Macaroni. Spaghetti Boiled",4.1,26,45,12,"4","1",NA,"based on macaroni cooked","CZECH"
289,"4630006SK00000003004","makar<f3>ny. <9a>pagety celozrnn<e9>","Macaroni. Spaghetti Whole-Meal",4.1,75.22,37,28,"2","1",NA,"mean based on 2 studies","CZECH"
291,"4641002SK00000003004","chlieb celozrnn<fd> p<9a>eni<e8>n<fd>","Wheat Bread Whole-Meal",1.2,46.93,63,30,"3","5",NA,"wholemeal spelt wheat flour bread","CZECH"
292,"4641003SK00000003004","chlieb celozrnn<fd> p<9a>eni<e8>n<fd> ""Graham"""," Wheat Bread  Graham ",1.2,49.9,73,36,"3","3",NA,"","CZECH"
293,"4641004SK00000003004","chlieb celozrnn<fd> ra<9e>n<fd>","Rye Bread Whole-Meal",1.2,48.7,56,27,"3","1",NA,"volkornbrot, whole-meal-rye bead","CZECH"
294,"4641005SK00000003004","chlieb p<9a>eni<e8>n<fd> biely","Wheat Bread White",1.1,50.77,72,37,"3","1",NA,"white-wheat-flour-bread","CZECH"
295,"4641006SK00000003004","chlieb rascov<fd>","Cummin Bread",1.1,51.81,72,37,"3",NA,NA,"","CZECH"
296,"4641007SK00000003004","chlieb samora<9e>n<fd>","Rye Bread",1.2,50.6,56,28,"3","1",NA,"volkornbrot, whole-meal-rye bead","CZECH"
297,"4641008SK00000003004","chlieb zemiakov<fd>","Potatoe Bread",1.1,51.49,85,44,"4",NA,NA,"","CZECH"
298,"4641009SK00000003054","kn<e4>ckebrot","Crispbread",1.2,65.08,85,55,"4","5",NA,"","CZECH"
299,"4623001SK00000003004","ja<e8>menn<e1> m<fa>ka","Barley Flour",3.1,75.6,70,53,"5",NA,NA,"","CZECH"
300,"4623002SK00000003004","ja<e8>menn<e9> kr<fa>py","Pearl Barley",3.1,75.25,29,22,"2","5",NA,"","CZECH"
303,"4643013SK00000003004","kukuri<e8>n<e9> vlo<e8>ky","Corn Flakes",2.1,82.8,81,67,"2","1",NA,"","CZECH"
305,"4643020SK00000003004","ovsen<e9> vlo<e8>ky","Oat Flakes",2.2,68.09,55,37,"2","1",NA,"","CZECH"
311,"4610020SK00000003054","ry<9e>a l<fa>pan<e1> varen<e1> *","Rice Polished Boiled",6.1,26.1,63,16,"4",NA,NA,"","CZECH"
312,"4610005SK00000003000","ry<9e>a nel<fa>pan<e1> (natural)","Rice Unpolished",6.1,76.28,63,48,"4",NA,NA,"","CZECH"
315,"4624002SK00000003002","ry<9e>ov<fd> <9a>krob","Rice Starch",3.1,85.07,70,60,"5",NA,NA,"","CZECH"
316,"6270012SK00000003004","<e8>aj. n<e1>poj sladen<fd>","Tea With Sugar. Drink",20.1,5.4,70,4,"5",NA,NA,"","CZECH"
317,"6270009SK00000003033","k<e1>va tureck<e1>. sladen<e1>. n<e1>poj","Coffee Black With Sugar. Drink",20.1,5.9,70,4,"5",NA,NA,"","CZECH"
318,"6270008SK00000003033","k<e1>va rozpustn<e1>. sladen<e1>. n<e1>poj","Coffee Instant With Sugar. Drink",20.1,5.9,70,4,"5",NA,NA,"","CZECH"
320,"4169001SK00000003004","konsk<e1> sal<e1>ma","Horse Salami",24.3,3.4,70,2,"5",NA,NA,"","CZECH"
321,"4161007SK00000003004","p<e1>rky jemn<e9>","Fine Sausages",24.3,1.09,70,1,"5",NA,NA,"","CZECH"
323,"4161006SK00000003004","p<e1>rky debrec<ed>nske","Debreczin Sausages",24.3,2.2,70,2,"5",NA,NA,"","CZECH"
324,"4161003SK00000003004","moravsk<e1> klob<e1>sa","Dried Sausage  Moravsk<e1> ",24.3,2.1,70,1,"5",NA,NA,"","CZECH"
326,"4165013SK00000003004","brav<e8>ov<e1> varen<e1> klob<e1>sa","Dried Pork Sausage. Boiled",24.3,1.02,70,1,"5",NA,NA,"","CZECH"
327,"4161001SK00000003004","brav<e8>ov<e1> dom<e1>ca klob<e1>sa","Dried Home-Made Pork Sausage",24.3,0.92,70,1,"5",NA,NA,"","CZECH"
329,"4162010SK00000003004","mortadela","Mortadella Salami",24.3,1.18,70,1,"5",NA,NA,"","CZECH"
333,"4162014SK00000003004","pivn<e1> sal<e1>ma","Beer Salami",24.3,1.9,70,1,"5",NA,NA,"","CZECH"
348,"4163003SK00000003004","bratislavsk<e1> klob<e1>sa","Dried Sausage  Bratislava ",24.3,1.4,70,1,"5",NA,NA,"","CZECH"
362,"4166003SK00000003004","<9a>unka dusen<e1>","Pork Ham",24.3,1.39,70,1,"5",NA,NA,"","CZECH"
365,"4167013SK00000003004","pe<e8>e<f2>ov<e1> pa<9a>teka lah<f4>dkov<e1>","Liver Delicate Pudding. Canned",26.1,1.2,70,1,"5",NA,NA,"","CZECH"
370,"4162013SK00000003104","par<ed><9e>ska sal<e1>ma","Paris Salami",24.3,0.2,70,0,"5",NA,NA,"","CZECH"
382,"4172002SK00000003004","hydinov<e1> sal<e1>ma","Poultry Salami",25.3,1.27,70,1,"5",NA,NA,"","CZECH"
384,"4360001SK00000003004","vaje<e8>n<e1> pomaz<e1>nka","Egg Cream",28.1,1,70,1,"5",NA,NA,"","CZECH"
385,"4171002SK00000003004","kurac<ed> n<e1>rez","Chicken Mixed",25.3,4.27,70,3,"5",NA,NA,"","CZECH"
386,"4172005SK00000003104","kur<e8>at<e1> <fa>den<e9>","Chicken Smoked",25.3,0.16,70,0,"5",NA,NA,"","CZECH"
390,"4192003SK00000003004","sle<ef>  v r<f4>sole","Herring In Aspic",27.2,0.6,70,0,"5",NA,NA,"","CZECH"
391,"4192004SK00000003004","zavin<e1><e8>e","Rollmop Fish",27.2,5.67,70,4,"5",NA,NA,"","CZECH"
399,"4195002SK00000003004","makrela v raj<e8>inovej / paradajkovej om<e1><e8>ke","Mackerel. Canned In Tomato Sauce",27.2,3,70,2,"5",NA,NA,"","CZECH"
405,"4643023SK00000003004","p<9a>eni<e8>n<e9> vlo<e8>ky","Wheat Flakes",2.2,72.3,63,46,"4","5",NA,"raisin wheat bran flakes","CZECH"
407,"4660003SK00000003054","dia tortov<fd> rez orie<9a>kov<fd>","Dia Cake With Nuts",5.2,20.92,45,9,"4",NA,NA,"","CZECH"
